step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1,word_loss,xm_best,xm_spread
870,108,2.1600001e-4,1.778444,5.9206,4887.31,2.6711,0.016335,0.026191,9.146577,1.778444,0.012274
880,110,2.2000002e-4,1.848391,6.3496,4239.80,2.9579,0.016995,0.026987,9.684082,1.848391,0.016673
890,111,2.2200002e-4,1.759130,5.8074,5067.28,2.9014,0.016779,0.027032,9.084082,1.759130,0.012742
900,112,2.2400002e-4,1.778837,5.9230,4324.29,2.6698,0.016859,0.027819,9.383585,1.778837,0.014917
910,113,2.26e-4,1.730907,5.6458,4016.42,2.8838,0.016953,0.028056,9.010171,1.730907,0.014103
920,115,2.3e-4,1.769827,5.8698,4862.95,2.7445,0.016118,0.025575,9.111871,1.769827,0.009389
930,116,2.32e-4,1.740852,5.7022,4406.76,2.8878,0.016147,0.025791,9.080852,1.740852,0.010833
940,117,2.34e-4,1.703758,5.4946,3845.95,2.6963,0.015778,0.025410,8.986262,1.703758,0.014543
950,118,2.3600002e-4,1.632333,5.1158,3667.88,2.6339,0.015670,0.025558,8.403795,1.632333,0.011554
960,120,2.4000001e-4,1.608372,4.9947,3586.61,2.5824,0.016015,0.026163,8.263151,1.608372,0.008486
970,121,2.4200001e-4,1.697277,5.4591,3796.62,2.6390,0.016706,0.027267,8.887000,1.697277,0.010366
980,122,2.4400001e-4,1.684310,5.3887,4243.53,2.8312,0.016591,0.027216,8.953934,1.684310,0.010913
990,123,2.46e-4,1.616582,5.0358,4437.33,3.1315,0.016081,0.027058,8.409526,1.616582,0.011251
1000,125,2.5e-4,1.773895,5.8938,4275.11,2.7760,0.017469,0.028983,9.708746,1.773895,0.012113
1010,126,2.52e-4,1.590179,4.9046,4108.58,2.6993,0.015908,0.026366,8.253636,1.590179,0.011796
1020,127,2.54e-4,1.623049,5.0685,4588.47,2.7286,0.016063,0.026778,8.460196,1.623049,0.010529
1030,128,2.5600003e-4,1.548473,4.7043,5460.95,2.6273,0.015719,0.025604,7.999329,1.548473,0.009279
1040,130,2.6e-4,1.497204,4.4692,4026.93,2.4357,0.015676,0.025671,7.802033,1.497204,0.009744
1050,131,2.6200002e-4,1.509409,4.5241,4279.46,2.4326,0.016312,0.026719,7.754041,1.509409,0.007149
1060,132,2.64e-4,1.657906,5.2483,4667.15,2.5530,0.016470,0.027029,8.546873,1.657906,0.009219
1070,133,2.6600002e-4,1.563622,4.7761,4015.09,2.4482,0.016003,0.026418,8.245560,1.563622,0.010262
1080,135,2.7000002e-4,1.523451,4.5880,3700.53,2.6008,0.015968,0.026428,7.967439,1.523451,0.009109
1090,136,2.7200003e-4,1.538195,4.6562,4956.18,2.7398,0.016273,0.027139,8.021084,1.538195,0.009283
1100,137,2.7400002e-4,1.535687,4.6445,4133.01,2.5198,0.016135,0.026203,8.053273,1.535687,0.011380
1110,138,2.76e-4,1.431529,4.1851,4176.84,2.8698,0.015629,0.025870,7.309779,1.431529,0.009694
1120,140,2.8e-4,1.461289,4.3115,5068.56,2.6814,0.015676,0.026110,7.381650,1.461289,0.009610
1130,141,2.8200002e-4,1.435783,4.2029,3947.23,2.7437,0.016316,0.027931,7.430238,1.435783,0.008910
1140,142,2.84e-4,1.466306,4.3332,4049.65,2.6757,0.016256,0.027959,7.610538,1.466306,0.007620
1150,143,2.86e-4,1.368569,3.9297,3550.29,2.8904,0.015863,0.027303,7.000559,1.368569,0.005690
1160,145,2.9e-4,1.375915,3.9587,3956.25,2.7601,0.015244,0.026346,6.934813,1.375915,0.012437
1170,146,2.92e-4,1.455602,4.2871,4672.92,2.6174,0.016463,0.028861,7.605179,1.455602,0.009753
